image,caption
1000268201_693b08cb0e.jpg,A little girl climbing the stairs to her playhouse.
1001773457_577c3a7d70.jpg,Two dogs of different breeds looking at each other on the road.
1002674143_1b742ab4b8.jpg,There is a girl with pigtails sitting in front of a rainbow painting.
1003163366_44323f5815.jpg,A shirtless man lies on a park bench with his dog.
1007129816_e794419615.jpg,A man with glasses is wearing a beer can crocheted hat.
1007320043_627395c3d8.jpg,A small child grips onto the red ropes at the playground.
1009434119_febe49276a.jpg,A Boston Terrier is running on lush green grass in front of a white fence.
1012212859_01547e3f17.jpg,White dog playing with a red ball on the shore near the water.
1015118661_980735411b.jpg,A young child is walking on a stone paved street with a metal pole and a man behind him.
1015584366_dfcec3c85a.jpg,A mottled black and grey dog in a blue collar jumping over a fallen tree.
101654506_8eb26cfb60.jpg,a white and brown dog is running through a snow covered field.
101669240_b2d3e7f17b.jpg,A skier looks at framed pictures in the snow next to trees.
1016887272_03199f49c4.jpg,Seven climbers are ascending a rock face whilst another man stands holding the rope.
1019077836_6fc9b15408.jpg,A dog is playing with a hose.
1019604187_d087bf9a5f.jpg,A white dog is ready to catch a yellow ball flying through the air.
1020651753_06077ec457.jpg,A white dog is trying to catch a ball in midair over a grassy field.
1022454332_6af2c1449a.jpg,A young boy waves his hand at the duck in the water surrounded by a green park.
1022975728_75515238d8.jpg,The black dog runs through the water.
1024138940_f1fefbdce1.jpg,Two dogs playing together on a beach.
102455176_5f8ead62d5.jpg,A person in blue and red ice climbing with two picks.
1026685415_0431cbf574.jpg,A dog in grass with a blue item in his mouth.
1030985833_b0902ea560.jpg,Black dog snaps at red and black object as brown dog lunges.
103106960_e8a41d64f8.jpg,A young male kneeling in front of a hockey goal with a hockey stick in his right hand.
103205630_682ca7285b.jpg,"Two men, standing on an ice, looking into something covered with a blue tarp."
1032122270_ea6f0beedb.jpg,Three dogs on a grassy hill.
1032460886_4a598ed535.jpg,Behind the man in a red shirt stands a large skyscraper.
1034276567_49bb87c51c.jpg,The boy eats his food outside at the table.
1042020065_fb3d3ba5ba.jpg,A young boy overlooking a crowd of inflatable boats.
1045521051_108ebc19be.jpg,A young man sits on the floor by the television with a fast food meal in front of him.
1048710776_bb5b0a5c7c.jpg,Crowd of people at the beach.
1052358063_eae6744153.jpg,a young boy skateboarder jumping on a platform on a skateboard.
1053804096_ad278b25f1.jpg,A girl with pigtails plays in the water.
1055623002_8195a43714.jpg,Children having a pillow fight.
1055753357_4fa3d8d693.jpg,Two construction workers take a seat on a steel beam.
1056338697_4f7d7ce270.jpg,A woman with blonde hair wearing a blue tube top is waving on the side of the street.
1056359656_662cee0814.jpg,A young girl sits on a seat and looks at a train pamphlet.
1056873310_49c665eb22.jpg,Two dogs run across stones near a body of water.
1057089366_ca83da0877.jpg,A little kid is jumping off a high dive at the pool.
1057210460_09c6f4c6c1.jpg,A man stands by an elevator with his head down.
1057251835_6ded4ada9c.jpg,A white dog is running down a rocky beach.
106514190_bae200f463.jpg,A skier is overlooking the beautiful white snow covered landscape.
1067675215_7336a694d6.jpg,A man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door.
1067790824_f3cc97239b.jpg,The two large dogs are running through sand.
1072153132_53d2bb1b60.jpg,A dog leaps while chasing a tennis ball through a grassy field.
107318069_e9f2ef32de.jpg,People watching hot air balloons.
1075716537_62105738b4.jpg,The little boy rides his bicycle in a race.
1077546505_a4f6c4daa9.jpg,A boy sliding down a slide into a pool with colorful tubes.
1077931201_1e0bb83105.jpg,The man is in the pool and throwing a small boy into the air.
10815824_2997e03d76.jpg,"A man, and girl and two horses are near a contained fire."
1082252566_8c79beef93.jpg,There are three dogs starring at a ball in the middle of them.
1082379191_ec1e53f996.jpg,A man and woman sitting on a deck next to a lake.
1084104085_3b06223afe.jpg,"The girl is in a harness, climbing rocks."
1087168168_70280d024a.jpg,A young boy jumping and a young girl seating in an inflatable pool.
1087539207_9f77ab3aaf.jpg,The children played on the four wheeler in the field.
108898978_7713be88fc.jpg,Two skiers are making their way through woodland.
108899015_bf36131a57.jpg,Two people are on a snow-covered mountain.
1089181217_ee1167f7af.jpg,A light brown dog runs down a path happily.
109202756_b97fcdc62c.jpg,A young blond woman sitting atop a brown draft horse in the snowy mountains.
109202801_c6381eef15.jpg,Two horses pull a carriage driven by a woman over snow covered ground.
109260216_85b0be5378.jpg,A person rappels down a steep incline.
109260218_fca831f933.jpg,three people sit in a cave.
1093716555_801aacef79.jpg,Several hikers rest with their gear in front of a mountain.
1095476286_87d4f8664e.jpg,A little boy playing in the water.
1095580424_76f0aa8a3e.jpg,The dog is running out of the tunnel on a dog obedience course.
1095590286_c654f7e5a9.jpg,Two dogs are running in a field.
1096097967_ac305887b4.jpg,A small white dog gets sprayed by water.
1096165011_cc5eb16aa6.jpg,A smiling boy swims underwater in a pool.
109738763_90541ef30d.jpg,Rider jumps snowmobile high in rural area.
109738916_236dc456ac.jpg,Three people and two snowmobiles.
109823395_6fb423a90f.jpg,Man jumping with all terrain vehicle.
1100214449_d10861e633.jpg,A little boy is jumping in front of a fountain.
110595925_f3395c8bd6.jpg,"Man bicycle up a road, while cows graze on a hill nearby."
1107246521_d16a476380.jpg,A black dog running after his rope toy.
1107471216_4336c9b328.jpg,Girl with rosy cheeks and lips holding black toy gun.
111497985_38e9f88856.jpg,The person has a striped shirt on and is holding on to a rope on a mountain.
111537217_082a4ba060.jpg,"Man with red shoes, white shirt and grey pants climbing."
111537222_07e56d5a30.jpg,A woman in purple snakeskin pants climbs a rock.
1115565519_d976d4b1f1.jpg,A little girl playing in water on a frog sculpture.
111766423_4522d36e56.jpg,Black and white bird standing on hand of someone holding sunflower seeds.
1117972841_2b9261f95f.jpg,A dog is standing in the sand.
1118557877_736f339752.jpg,a young boy wearing a colorful bathing suit splashing in the ocean.
1119015538_e8e796281e.jpg,The small dog is running across the lawn.
1119418776_58e4b93eac.jpg,A dog running in a field.
1119463452_69d4eecd08.jpg,A little girl swimming in a pool.
1121416483_c7902d0d49.jpg,A young girl does a handstand on a bed with blue sheets.
112178718_87270d9b4d.jpg,A man with his surfboard stands in the sand.
112243673_fd68255217.jpg,Three people on two dirt-bikes and one four-wheeler are riding through brown grass.
1122944218_8eb3607403.jpg,A little toddler dressed in white is smiling while a lady helps him wave a flag.
1124448967_2221af8dc5.jpg,Man relaxing in a folding chair on the street.
1130017585_1a219257ac.jpg,Three women on the street drinking and posing.
1130369873_d80a1aa59c.jpg,"A red dog, holding a ball, splashes through vegetation filled water."
1130401779_8c30182e3e.jpg,Two brown dogs runs through the water.
1131155939_b4b457b05e.jpg,A dog is running in the waves at the beach.
1131340021_83f46b150a.jpg,The little boy is wearing a black pinstripe shirt and walking on a deck.
1131800850_89c7ffd477.jpg,A white and brown dog shaking its self dry.
1131804997_177c3c0640.jpg,Two men with backpacks are sitting on cardboard along a railing.
1131932671_c8d17751b3.jpg,A small child is jumping on a bed.
1132772170_600610c5df.jpg,A young child jumping on the bed as a man looks the other way.
113678030_87a6a6e42e.jpg,The snowboarder is sitting down.
1138784872_69ade3f2ab.jpg,A young boy is walking in front of some stores.
114051287_dd85625a04.jpg,A child getting out of the car wearing soccer shoes.
1142283988_6b227c5231.jpg,"Blond embracing young man in pink costume, at event."
1142847777_2a0c1c2551.jpg,A woman is riding her bicycle in traffic.
1143373711_2e90b7b799.jpg,A man in blue and white biking gear rides down a busy street.
1143882946_1898d2eeb9.jpg,A woman with a helmet and a backpack walks next to her bike.
1144288288_e5c9558b6a.jpg,A woman walks on a street wearing headphones.
1148238960_f8cacec2fc.jpg,People waiting at a light on bikes.
1149179852_acad4d7300.jpg,Shirtless man leading a small horse-drawn covered wagon down a road.
114949897_490ca7eaec.jpg,The man is holding the net for the boy playing baseball.
1151466868_3bc4d9580b.jpg,Girl running through the water near the shore.
1153704539_542f7aa3a5.jpg,Girl playing the trumpet in a marching band.
1155138244_859fd6e079.jpg,The waitress offers complimentary tea to the patrons.
115684808_cb01227802.jpg,Three people are standing in the snow preparing an ice fishing boat.
1159574340_99ba8c3c59.jpg,Little boy in sneakers jumping into water.
1160034462_16b38174fe.jpg,The old man in the brown hat is sitting on the bench.
1160441615_fe6b3c5277.jpg,Three women walking through a tunnel in a park.
1163282319_b729b24c46.jpg,A young girl wearing yellow flip-flops is sitting on a large boulder.
1164131282_b30926f332.jpg,Two dogs run along a grassy field while one bites the other.
1164765687_7aca07bbe7.jpg,A man playing with a black dog on a white blanket.
1167662968_e466f1e80a.jpg,closeup picture of a man with a nose ring and a brown shirt.
1167669558_87a8a467d6.jpg,"There is a man, wearing a yellow shirt, and grimacing."
1167908324_8caab45e15.jpg,A man stands next to three video game machines and a beer sign.
1169307342_e7a4685a5c.jpg,Two brown dogs run side by side.
1176580356_9810d877bf.jpg,Dog jumps to get orange ball on his head.
1177994172_10d143cb8d.jpg,Two children wearing jeans squirt water at each other.
1178705300_c224d9a4f1.jpg,A tan colored dog is jumping into an outdoor pool.
118187095_d422383c81.jpg,Two children ride in toy cars.
118309463_a532b75be9.jpg,The boys are all wearing the same baseball hats.
1184967930_9e29ce380d.jpg,A dog running in shrubbery along a stream.
1187435567_18173c148b.jpg,"A small, shaggy dog playing with a toy on a blanket."
1187593464_ce862352c6.jpg,A dog runs toward the camera with a stick in its mouth.
1189977786_4f5aaed773.jpg,one tan dog jumping in a pool while the other grey dog is on the deck.
1197800988_7fb0ca4888.jpg,A woman sits at a picnic table eating with luggage.
1198194316_543cc7b945.jpg,A man in a black shirt and jeans walks beside a woman in black pants and a flowery shirt in front of a refreshment stand with others walking nearby.
1206506157_c7956accd5.jpg,Two dogs play with an orange toy in tall grass.
1207159468_425b902bfb.jpg,A boy stands near a structure outside.
1211015912_9f3ee3a995.jpg,A young girl in a white dress.
121800200_bef08fae5f.jpg,People at a distance trying to climb a cliff.
1220401002_3f44b1f3f7.jpg,Two young girls are playing and laughing in a green grassy yard.
1224851143_33bcdd299c.jpg,A small child dressed in green is eating with a spoon.
1225443522_1633e7121f.jpg,A woman walks down a brick sidewalk at night.
1227655020_b11a1bb112.jpg,Two dogs play in tall grass.
1231229740_8dcbf80bfb.jpg,A toddler wearing a pacifier is sleeping on a red blanket with a teddy bear at his side.
1232148178_4f45cc3284.jpg,A young girl is smiling in front of the camera at a park.
1234293791_6566284bcd.jpg,Girl with black helmet riding brown dappled horse.
1234817607_924893f6e1.jpg,An elderly man is smiling while sitting in front of a row of soda cans.
1235580648_7eebaed9bc.jpg,Two men wear silly stove pipe hats and wear makeup.
1235681222_819231767a.jpg,Three people sit on wood benches set on white and orange tile.
1235685934_be89b231fb.jpg,The man is wearing a white shirt and sunglasses.
1236951314_0308dc4138.jpg,A swimming person is watching a child jump into a pool with blue water.
1236964638_1808784a3c.jpg,A child jumping into a swimming pool from the diving board.
1237985362_dbafc59280.jpg,"A young woman in a blue shirt stands, holding a young girl in a denim dress."
123889082_d3751e0350.jpg,Two dogs are playing in a grassy field; one dog is biting the ear of the other dog.
123997871_6a9ca987b1.jpg,The woman lacrosse player in blue is about to catch the ball.
1244140539_da4804d828.jpg,A small dog is sitting on white carpet.
1244306891_8e78ae1620.jpg,The three girls in bathing suits are all smiles.
1244485675_822e6efe60.jpg,The child is looking at his reflection in glass.
1245022983_fb329886dd.jpg,The girl in a bright pink skirt dances near a stroller.
1247181182_35cabd76f3.jpg,A person posing on a mountaintop.
1248357227_2b4175fc39.jpg,Three children play near a placid lake in a wooded area.
1248734482_3038218f3b.jpg,A young girl is laying in the grass posing for the camera.
124881487_36e668145d.jpg,Blurry picture of mountain biker descending rocky trail.
1248953128_24c9f8d924.jpg,The young girl is kicking a blue and red soccer ball.
124972799_de706b6d0b.jpg,A snarling dog approaches a hissing cat.
1251558317_4ef844b775.jpg,A woman and boy sit on a police motorcycle.
1252396628_eb81d3905b.jpg,A man riding a dirt bike up a muddy hill.
1252787177_4b08625897.jpg,three pairs of underpants are hanging from a line under a red shelter.
125319704_49ead3463c.jpg,Two off road bikers stopped in a creek.
1253264731_e7c689eca5.jpg,Two children are standing on a green metal fence.
