image,caption
1000268201_693b08cb0e.jpg,A girl going into a wooden building.
1001773457_577c3a7d70.jpg,A black dog and a tri-colored dog playing with each other on the road.
1002674143_1b742ab4b8.jpg,A little girl is sitting in front of a large painted rainbow.
1003163366_44323f5815.jpg,A man lays on the bench to which a white dog is also tied.
1007129816_e794419615.jpg,A man wears an orange hat and glasses.
1007320043_627395c3d8.jpg,A little girl climbing on red roping.
1009434119_febe49276a.jpg,A black and white dog is running through the grass.
1012212859_01547e3f17.jpg,A white dog shakes on the edge of a beach with an orange ball.
1015118661_980735411b.jpg,A little boy is standing on the street while a man in overalls is working on a stone wall.
1015584366_dfcec3c85a.jpg,A grey dog is leaping over a fallen tree.
101654506_8eb26cfb60.jpg,A dog is running in the snow.
101669240_b2d3e7f17b.jpg,A man skis past another man displaying paintings in the snow.
1016887272_03199f49c4.jpg,A group of people are rock climbing on a rock climbing wall.
1019077836_6fc9b15408.jpg,a brown dog plays with the hose.
1019604187_d087bf9a5f.jpg,A white dog is about to catch a yellow ball in its mouth.
1020651753_06077ec457.jpg,A black and white dog jumps up towards a yellow toy.
1022454332_6af2c1449a.jpg,a large lake with a lone duck swimming in it with several people around the edge of it.
1022975728_75515238d8.jpg,A black lab with tags frolicks in the water.
1024138940_f1fefbdce1.jpg,Two dogs are making a turn on a soft sand beach.
102455176_5f8ead62d5.jpg,an ice climber in a blue jacket and black pants is scaling a frozen ice wall.
1026685415_0431cbf574.jpg,A black dog carrying something through the grass.
1030985833_b0902ea560.jpg,A black dog and a brown dog play with a red toy on a courtyard.
103106960_e8a41d64f8.jpg,A child in a red jacket playing street hockey guarding a goal.
103205630_682ca7285b.jpg,Two men are about to enter an ice fishing tent on a snow covered lake.
1032122270_ea6f0beedb.jpg,Three dogs are playing on grassy hill with a blue sky.
1032460886_4a598ed535.jpg,A man stands in front of a skyscraper.
1034276567_49bb87c51c.jpg,A child biting into a baked good.
1042020065_fb3d3ba5ba.jpg,A boy in a green shirt watches kayakers.
1045521051_108ebc19be.jpg,A person sits on the floor and eats in front of a television.
1048710776_bb5b0a5c7c.jpg,A group of people sit on a wall at the beach.
1052358063_eae6744153.jpg,A child is performing a skateboard trick while another child with a skateboard leans on a wall.
1053804096_ad278b25f1.jpg,A girls plays in the surf.
1055623002_8195a43714.jpg,A group of kids have a pillow-fight.
1055753357_4fa3d8d693.jpg,Two construction workers are sitting up on the side of a building.
1056338697_4f7d7ce270.jpg,A blond woman is on the street hailing a taxi.
1056359656_662cee0814.jpg,a young blond girl with a magizine in her hands.
1056873310_49c665eb22.jpg,A brown dog is running after the black dog.
1057089366_ca83da0877.jpg,A child jumps off a high diving board into the pool.
1057210460_09c6f4c6c1.jpg,A man in a tank top stands next to a chrome door.
1057251835_6ded4ada9c.jpg,A small yellow dog runs on a beach.
106514190_bae200f463.jpg,a person on ski 's looks from hill over snow covered landscape.
1067675215_7336a694d6.jpg,A man in blue shorts lays down outside in a parking lot.
1067790824_f3cc97239b.jpg,A woolly dog chases a Doberman on a beach.
1072153132_53d2bb1b60.jpg,A dog and a tennis ball.
107318069_e9f2ef32de.jpg,A group of hot air balloons lit up at night.
1075716537_62105738b4.jpg,A little boy rides a bike down a hill on a miniature dirt bike.
1077546505_a4f6c4daa9.jpg,A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water.
1077931201_1e0bb83105.jpg,A man in a wetsuit is throwing a toddler up in the air and is ready to catch him.
10815824_2997e03d76.jpg,A girl and her horse stand by a fire.
1082252566_8c79beef93.jpg,A large brown dog is pushing a small Boston terrier with his face while anouther dog watches.
1082379191_ec1e53f996.jpg,A man and a woman are sitting on a dock together.
1084104085_3b06223afe.jpg,A woman in blue shorts and a white shirt is indoor rock climbing.
1087168168_70280d024a.jpg,A boy jumping on a water jumphouse.
1087539207_9f77ab3aaf.jpg,Children ride a tractor in a field.
108898978_7713be88fc.jpg,Two men are skiing in the snow in a wooded area.
108899015_bf36131a57.jpg,Skiiers at the top of a snow covered hill.
1089181217_ee1167f7af.jpg,A brown dog running next to grass.
109202756_b97fcdc62c.jpg,A woman in a blue jacket rides a brown pony near water.
109202801_c6381eef15.jpg,Two golden brown horses pull a sleigh driven by a woman in a blue coat.
109260216_85b0be5378.jpg,"A person climbs a tall, flat mountain while holding onto a safety rope."
109260218_fca831f933.jpg,Shaft of light in a cave shows three spelunkers.
1093716555_801aacef79.jpg,A group of hikers are resting on the ground in front of some mountains.
1095476286_87d4f8664e.jpg,a boy plays in the fountains.
1095580424_76f0aa8a3e.jpg,A dog runs out of a tunnel on a course.
1095590286_c654f7e5a9.jpg,a dog chases another dog.
1096097967_ac305887b4.jpg,A black and white dog is being soaked with a jet of water in a blue paddling pool.
1096165011_cc5eb16aa6.jpg,A red-headed boy swimming underwater.
109738763_90541ef30d.jpg,A snowmobiler flies through the air.
109738916_236dc456ac.jpg,People pose with helmets and goggles on while riding snowmobiles.
109823395_6fb423a90f.jpg,A man on a four wheeler is flying through the air.
1100214449_d10861e633.jpg,A boy is jumping off the side of a running stone water fountain in front of a building.
110595925_f3395c8bd6.jpg,A man in aerodynamic gear riding a bicycle down a road around a sharp curve.
1107246521_d16a476380.jpg,A black dog playing fetch with a ball of rope.
1107471216_4336c9b328.jpg,A young girl is looking through an old fashioned video camera.
111497985_38e9f88856.jpg,A woman in a striped shirt climbs up a mountain.
111537217_082a4ba060.jpg,A man climbing the side of a cliff.
111537222_07e56d5a30.jpg,A man climbs a rocky wall.
1115565519_d976d4b1f1.jpg,A child plays with a fountain.
111766423_4522d36e56.jpg,A black and white bird standing on a hand.
1117972841_2b9261f95f.jpg,A brown dog playing in the sand.
1118557877_736f339752.jpg,A small child wades through the water while being guided by another person.
1119015538_e8e796281e.jpg,A playful dog is running through the grass.
1119418776_58e4b93eac.jpg,"A black, brown and white dog running through a field."
1119463452_69d4eecd08.jpg,A girl swimming in a pool.
1121416483_c7902d0d49.jpg,A little girl standing on her head.
112178718_87270d9b4d.jpg,A man holds a surfboard on the beach.
112243673_fd68255217.jpg,Three people are riding around on ATV 's and motorcycles.
1122944218_8eb3607403.jpg,A baby is holding a small black flag with a moon and a star on it.
1124448967_2221af8dc5.jpg,An older man sits back and relaxes on a patio outside an adobe building where many bicycles are propped.
1130017585_1a219257ac.jpg,The young people party in the streets.
1130369873_d80a1aa59c.jpg,A brown dog splashes in the water while carrying a ball in its mouth.
1130401779_8c30182e3e.jpg,Two brown dogs in the water.
1131155939_b4b457b05e.jpg,"A black lav runs into the water on the beach, with swimmers in the distance and sea kelp in the foreground."
1131340021_83f46b150a.jpg,Little boy in a striped shirt and brown shorts is running.
1131800850_89c7ffd477.jpg,A dog is looking at something near the water.
1131804997_177c3c0640.jpg,Two men sitting in front of a railing are looking at something.
